,index,TotalCounts
1301,alive,46.0
1302,seven,754.0
1303,bite,661.0
1304,daughter,40.0
1305,Missus_Lastname,1.0
1306,dolly's,627.0
1307,phone,563.0
1308,medicine,245.0
1309,Calpol,55.0
1310,hum,16.0
1311,ambulance,347.0
1312,hello,3727.0
1313,person,191.0
1314,patient,20.0
1315,sore,370.0
1316,let's,4187.0
1317,cream,447.0
1318,bandage,42.0
1319,listen,496.0
1320,smiling,121.0
1321,sweet,143.0
1322,smartie,292.0
1323,eventually,31.0
1324,long,1402.0
1325,dishes,37.0
1326,water,1955.0
1327,annoying,26.0
1328,straggly,1.0
1329,healed,2.0
1330,hers,178.0
1331,eating,1320.0
1332,slides,45.0
1333,constantly,29.0
1334,as_soon_as,44.0
1335,hasta,403.0
1336,engrossed,2.0
1337,nightmare,45.0
1338,twenty,425.0
1339,minutes,387.0
1340,longest,8.0
1341,alphabet,49.0
1342,feels,45.0
1343,picked,162.0
1344,recognize,30.0
1345,letters,347.0
1346,song,433.0
1347,gone,6056.0
1348,black,966.0
1349,spill,99.0
1350,smile,296.0
1351,odd,39.0
1352,shape,330.0
1353,Sarah,237.0
1354,dare,71.0
1355,opportunity,2.0
1356,dollies,105.0
1357,friends,422.0
1358,hit,453.0
1359,roared,4.0
1360,laughed,20.0
1361,stripping,4.0
1362,walks,39.0
1363,flings,1.0
1364,roll,522.0
1365,rolling,164.0
1366,street,64.0
1367,lifts,14.0
1368,auntie,42.0
1369,in_case,100.0
1370,lifted,45.0
1371,Saunders,1.0
1372,telling,301.0
1373,mothers,10.0
1374,t,82.0
1375,Frances,14.0
1376,Rice_Krispie,3.0
1377,buns,76.0
1378,outside,1223.0
1379,Granny_McAteer's,2.0
1380,nanny,96.0
1381,grandad,170.0
1382,smack,219.0
1383,behind,763.0
1384,imaginations,1.0
1385,Naughty_Edward,1.0
1386,starts,102.0
1387,nurse,160.0
1388,sign,83.0
1389,fantastic,74.0
1390,responding,1.0
1391,expected,13.0
1392,repeating,6.0
1393,stringing,1.0
1394,monitor,5.0
1395,amount,18.0
1396,threshold,2.0
1397,developing,1.0
1398,few,342.0
1399,suit,197.0
1400,diary,18.0
1401,yep,167.0
