,Term,BNC_Sampler_Counts
1497,72-member,1
1498,constituent,10
1499,assembly,73
1500,draw,204
1501,prepare,52
1502,way,1776
1503,April,128
1504,dominant,47
1505,impressions,8
1506,queued,6
1507,hot,165
1508,sun,160
1509,determination,30
1510,cast,72
1511,ballots,5
1512,conquest,21
1513,century,227
1514,ago,441
1515,orderly,10
1516,disciplined,8
1517,behaviour,145
1518,searing,4
1519,heat,86
1520,One,733
1521,Swapo,24
1522,Sam,58
1523,Nujoma,6
1524,aged,46
1525,60,65
1526,As,568
1527,entered,87
1528,polling,19
1529,booth,2
1530,black,363
1531,township,3
1532,Today,61
1533,finally,103
1534,burying,4
1535,apartheid,6
1536,wearing,85
1537,pin-striped,1
1538,shirt,55
1539,double-breasted,3
1540,jacket,67
1541,accompanied,49
1542,Andimba,1
1543,Toivo,2
1544,ja,2
1545,secretary-general,6
1546,thoughts,39
1547,armed,116
1548,struggle,68
1549,now that,29
1550,colonialists,3
1551,imposed,37
1552,barrel,44
1553,gun,131
1554,facilitate,18
1555,end,1014
1556,ballot,55
1557,box,205
1558,Earlier,16
1559,director,115
1560,United,230
1561,Nations,26
1562,Transitional,2
1563,Assistance,3
1564,Group,142
1565,Untag,2
1566,Irish-born,1
1567,Cedric,3
1568,Thornberry,2
1569,freer,4
1570,Belfast,23
1571,comes,426
1572,anxieties,4
1573,whether,581
1574,technical,61
1575,arrangements,107
1576,proceed,28
1577,smoothly,15
1578,;,2227
1579,second,689
1580,use,1277
1581,symbols,21
1582,papers,136
1583,enable,77
1584,illiterate,6
1585,voters,90
1586,choice,186
1587,satisfactorily,7
1588,We,2493
1589,Africans,3
1590,stretched,22
1591,alarmingly,1
1592,thin,86
1593,go,3533
1594,tempers,3
1595,flared,3
1596,violence,60
1597,control,353
1598,administered,12
1599,African-appointed,1
1600,Administrator-General,1
1601,scrutinised,2
1602,UN,42
1603,"2,800",3
1604,including,299
1605,"1,100",2
1606,policemen,28
1607,scattered,12
1608,throughout,200
1609,keep,619
1610,eye,156
1611,proceedings,29
1612,358,2
1613,booths,4
1614,symbol,25
1615,each,920
1616,contesting,5
1617,printed,55
1618,electorate,43
1619,relates,18
1620,tactical,17
1621,blunder,3
1622,allowed,215
1623,splinter,1
1624,Swapo-Democrats,1
1625,appropriate,158
1626,register,22
1627,30,110
1628,holding,126
1629,flaming,12
1630,torch,13
1631,weeks,345
1632,man,881
1633,fist,8
1634,dangers,23
1635,confusion,33
1636,compounded,9
1637,factors,84
1638,Firstly,24
1639,Swapo-Democrat,1
1640,emblem,8
1641,placed,145
1642,paper,414
1643,meaning,63
1644,Secondly,19
1645,inconspicuous,2
1646,reduced,155
1647,size,287
1648,needed,265
1649,squeeze,10
1650,unanimous,6
1651,emerge,33
1652,Its,85
1653,virtual,12
1654,allegiance,9
1655,Ovambo,1
1656,1.3,7
1657,all but,14
1658,guarantees,19
1659,conceded,13
1660,interview,46
1661,Dr,157
1662,Kenneth,94
1663,Abrahams,4
1664,National,263
1665,thrown,64
1666,jail,40
1667,Even if,38
1668,two-thirds,11
1669,write,328
1670,little,1197
1671,difficulty,83
1672,persuading,11
1673,smaller,150
1674,thus,195
1675,Some,333
1676,electric,75
1677,sticks,32
1678,beat,75
1679,handcuffs,12
1680,rifles,17
1681,MY,10
1682,religious,73
1683,name,564
1684,XXX,2
1685,XX,2
1686,nunnery,11
1687,My,463
1688,I,38187
1689,born,148
1690,Nyantren,1
1691,am,555
1692,18,87
1693,evening,230
1694,16,70
1695,1988,35
1696,llpm,1
1697,stayed,91
1698,night,851
1699,cave,4
1700,below,220
1701,morning,667
1702,Lhasa,14
1703,where,2066
1704,demonstrated,38
1705,hour,253
1706,Why,527
1707,demonstrate,31
1708,Tibetan,12
1709,freedom,94
1710,life,700
1711,Holiness,3
1712,Dalai,18
1713,Lama,16
1714,Chinese,118
1715,leave,609
1716,Tibet,16
1717,completing,22
1718,three,2053
1719,rounds,21
1720,Barkhor,6
1721,separately,67
1722,40,59
1723,soldiers,91
1724,stopped,162
1725,arrested,49
1726,taken,566
1727,hospital,184
1728,took,695
1729,photos,19
1730,immediately,149
1731,prison,98
1732,vehicle,33
1733,kicked,34
1734,shouted,61
1735,Gutsa,1
1736,Prison,10
1737,There,1701
