,Synsets,Domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,vote
520,Synset('bedstead.n.01'),furn,0,1,5,8,22,8,2,1,-14.88413676496886,15.634920634920634,0.8268625393494228,0.4105332954437813,nb
521,Synset('bookcase.n.01'),furn,0,1,1,8,51,8,1,1,-13.917662139171926,3.126984126984127,0.8268625393494228,0.9516908212560388,b
522,Synset('buffet.n.01'),furn,2,1,3,8,86,6,3,13,-11.554201226356591,9.38095238095238,0.8268625393494228,1.604811973098418,b
523,Synset('cabinet.n.01'),furn,3,1,1,8,101,7,1,4,-11.405622372022696,3.126984126984127,0.8268625393494228,1.884721038173724,b
524,Synset('chest_of_drawers.n.01'),furn,3,1,2,8,42,5,4,5,-11.539280221490433,6.253968253968254,0.8268625393494228,0.7837453822108553,b
525,Synset('dining-room_furniture.n.01'),furn,1,1,0,8,43,21,1,1,-19.187838610946105,0.0,0.8268625393494228,0.802405986549209,nb
526,Synset('etagere.n.01'),furn,0,1,1,8,69,7,1,1,-18.047357916055503,3.126984126984127,0.8268625393494228,1.287581699346405,nb
527,Synset('fitment.n.01'),furn,0,1,0,8,79,7,1,1,-17.218914179247374,0.0,0.8268625393494228,1.474187742729942,nb
528,Synset('hallstand.n.01'),furn,0,1,0,8,89,9,1,1,-18.68885853237584,0.0,0.8268625393494228,1.6607937861134792,nb
529,Synset('lamp.n.02'),furn,4,1,4,8,61,4,1,2,-11.114169137636242,12.507936507936508,0.8268625393494228,1.1382968646395757,b
530,Synset('lawn_furniture.n.01'),furn,0,1,0,8,51,14,1,1,-17.772276967576367,0.0,0.8268625393494228,0.9516908212560388,nb
531,Synset('nest.n.05'),furn,0,1,0,8,43,4,1,9,-11.332235851910568,0.0,0.8268625393494228,0.802405986549209,nb
532,Synset('office_furniture.n.01'),furn,4,1,0,8,39,16,1,1,-15.77474473044058,0.0,0.8268625393494228,0.7277635691957942,nb
533,Synset('seat.n.03'),furn,68,1,3,8,41,4,1,16,-9.939472938077044,9.38095238095238,0.8268625393494228,0.7650847778725016,b
534,Synset('sectional.n.01'),furn,0,1,0,8,86,9,1,4,-12.305544642848355,0.0,0.8268625393494228,1.604811973098418,nb
535,Synset('sheraton.n.01'),furn,0,1,0,8,122,8,1,1,-14.782624045930117,0.0,0.8268625393494228,2.2765937292791514,nb
536,Synset('sleeper.n.07'),furn,0,1,0,8,53,7,1,9,-13.4780529984061,0.0,0.8268625393494228,0.989012029932746,nb
537,Synset('table.n.02'),furn,50,1,3,8,100,5,1,8,-8.889433717192944,9.38095238095238,0.8268625393494228,1.86606043383537,b
538,Synset('table.n.03'),furn,6,1,0,8,61,5,1,8,-8.889433717192944,0.0,0.8268625393494228,1.1382968646395757,nb
539,Synset('wall_unit.n.01'),furn,1,1,0,8,80,9,1,1,-17.73709750013076,0.0,0.8268625393494228,1.4928483470682958,nb
540,Synset('wardrobe.n.01'),furn,3,1,0,8,116,5,3,23,-10.79143397678956,0.0,0.8268625393494228,2.164630103249029,b
541,Synset('washstand.n.01'),furn,0,1,0,8,126,9,2,2,-15.950020664916275,0.0,0.8268625393494228,2.351236146632566,nb
542,Synset('bassinet.n.01'),furn,0,1,0,9,46,8,1,2,-16.124942223434463,0.0,0.9302203567681008,0.8583877995642701,nb
543,Synset('carrycot.n.01'),furn,0,1,1,9,77,8,1,1,-19.23845750358073,3.126984126984127,0.9302203567681008,1.4368665340532347,nb
544,Synset('cradle.n.01'),furn,0,1,1,9,33,6,1,10,-12.35476862921582,3.126984126984127,0.9302203567681008,0.6157999431656721,nb
545,Synset('crib.n.01'),furn,0,1,0,9,38,3,2,8,-13.089169658006432,0.0,0.9302203567681008,0.7091029648574405,nb
546,Synset('bed.n.01'),furn,23,1,3,9,51,3,1,13,-9.203934613942122,9.38095238095238,0.9302203567681008,0.9516908212560388,b
547,Synset('credenza.n.01'),furn,0,1,0,9,29,8,2,2,-13.992014995022448,0.0,0.9302203567681008,0.5411575258122573,nb
548,Synset('minibar.n.01'),furn,0,1,0,9,47,7,2,1,-16.800163196147018,0.0,0.9302203567681008,0.8770484039026238,nb
549,Synset('china_cabinet.n.01'),furn,0,1,0,9,69,12,2,1,-17.04395027473513,0.0,0.9302203567681008,1.287581699346405,nb
550,Synset('dresser.n.05'),furn,0,1,0,9,22,7,1,5,-13.118978292178506,0.0,0.9302203567681008,0.4105332954437813,nb
551,Synset('medicine_chest.n.01'),furn,0,1,0,9,43,14,2,1,-15.818723497699516,0.0,0.9302203567681008,0.802405986549209,nb
552,Synset('chiffonier.n.01'),furn,0,1,1,9,31,7,2,2,-15.74071746407609,3.126984126984127,0.9302203567681008,0.5784787344889647,nb
553,Synset('highboy.n.01'),furn,0,1,0,9,76,7,2,1,-17.93075345754977,0.0,0.9302203567681008,1.418205929714881,nb
554,Synset('lowboy.n.01'),furn,0,1,0,9,60,6,1,1,-18.574810972356627,0.0,0.9302203567681008,1.119636260301222,nb
555,Synset('dining-room_table.n.01'),furn,0,2,1,9,72,17,1,1,-15.935123247700766,3.126984126984127,0.9302203567681008,1.3435635123614662,nb
556,Synset('floor_lamp.n.01'),furn,0,1,0,9,31,10,1,1,-16.944160846958614,0.0,0.9302203567681008,0.5784787344889647,nb
557,Synset('reading_lamp.n.01'),furn,1,1,0,9,38,12,1,1,-16.363850783070028,0.0,0.9302203567681008,0.7091029648574405,nb
558,Synset('table_lamp.n.01'),furn,0,1,0,9,27,10,1,1,-16.41254719997588,0.0,0.9302203567681008,0.5038363171355499,nb
559,Synset('file.n.03'),furn,3,1,0,9,70,4,3,9,-10.81353245454196,0.0,0.9302203567681008,1.306242303684759,nb
560,Synset('bench.n.01'),furn,8,1,0,9,36,5,1,9,-11.326136575377957,0.0,0.9302203567681008,0.6717817561807331,b
561,Synset('bench.n.07'),furn,0,1,1,9,40,5,1,9,-11.326136575377957,3.126984126984127,0.9302203567681008,0.7464241735341479,nb
562,Synset('box.n.08'),furn,0,1,1,9,28,3,2,13,-10.239054523097089,3.126984126984127,0.9302203567681008,0.5224969214739036,nb
563,Synset('box_seat.n.01'),furn,0,1,2,9,45,8,1,2,-16.78634564211906,6.253968253968254,0.9302203567681008,0.8397271952259164,nb
564,Synset('chair.n.01'),furn,35,1,2,9,50,5,1,7,-9.810675408281693,6.253968253968254,0.9302203567681008,0.933030216917685,b
565,Synset('ottoman.n.03'),furn,0,1,0,9,28,4,5,17,-14.404577947219588,0.0,0.9302203567681008,0.5224969214739036,nb
566,Synset('sofa.n.01'),furn,9,1,0,9,44,4,3,4,-11.873709249309016,0.0,0.9302203567681008,0.8210665908875627,b
567,Synset('stool.n.01'),furn,7,1,0,9,36,5,1,8,-12.135862460341622,0.0,0.9302203567681008,0.6717817561807331,b
568,Synset('toilet_seat.n.01'),furn,0,1,1,9,27,11,1,1,-15.555355618324244,3.126984126984127,0.9302203567681008,0.5038363171355499,b
569,Synset('altar.n.01'),furn,0,1,0,9,56,5,3,2,-12.28699478607746,0.0,0.9302203567681008,1.0449938429478072,b
570,Synset('booth.n.01'),furn,0,1,0,9,70,5,1,4,-12.630111723193586,0.0,0.9302203567681008,1.306242303684759,nb
571,Synset('breakfast_table.n.01'),furn,0,1,0,9,32,15,1,1,-14.388623878851824,0.0,0.9302203567681008,0.5971393388273184,nb
572,Synset('card_table.n.01'),furn,0,1,0,9,42,10,1,2,-15.531404054294091,0.0,0.9302203567681008,0.7837453822108553,nb
573,Synset('card_table.n.02'),furn,0,1,0,9,64,10,1,2,-15.531404054294091,0.0,0.9302203567681008,1.1942786776546368,nb
574,Synset('coffee_table.n.01'),furn,0,1,0,9,74,12,2,1,-14.397337832206512,0.0,0.9302203567681008,1.3808847210381736,nb
575,Synset('conference_table.n.01'),furn,0,1,1,9,58,13,3,1,-15.941504464939166,3.126984126984127,0.9302203567681008,1.0823150516245146,nb
576,Synset('console_table.n.01'),furn,0,1,0,9,65,7,2,5,-12.867650216283444,0.0,0.9302203567681008,1.2129392819929905,nb
577,Synset('counter.n.01'),furn,15,1,1,9,74,7,1,13,-10.537809716746798,3.126984126984127,0.9302203567681008,1.3808847210381736,nb
578,Synset('desk.n.01'),furn,3,1,1,9,85,4,1,1,-10.547385326875457,3.126984126984127,0.9302203567681008,1.5861513687600644,b
579,Synset('dressing_table.n.01'),furn,0,1,0,9,81,6,4,5,-12.823190542228026,0.0,0.9302203567681008,1.5115089514066495,nb
580,Synset('drop-leaf_table.n.01'),furn,1,1,1,9,51,15,1,1,-18.9787468022603,3.126984126984127,0.9302203567681008,0.9516908212560388,nb
581,Synset('gaming_table.n.01'),furn,0,1,0,9,79,12,1,1,-16.44728682786035,0.0,0.9302203567681008,1.474187742729942,nb
